eduagentx-agent-registry  | {"timestamp":"2026-09-25T04:25:08.311Z","event":"http_request_completed","service":"agent-registry","correlationId":"smoke-1790310308","method":"POST","path":"/v1/registrations","statusCode":201,"durationMs":36.779}
eduagentx-agent-registry  | {"timestamp":"2026-09-25T04:25:08.364Z","event":"http_request_completed","service":"agent-registry","correlationId":"retry-smoke-1790310308","method":"POST","path":"/v1/registrations","statusCode":200,"durationMs":33.628}
eduagentx-agent-registry  | {"timestamp":"2026-09-25T04:25:08.415Z","event":"http_request_completed","service":"agent-registry","correlationId":"protocol-smoke-1790310308","method":"POST","path":"/v1/registrations","statusCode":200,"durationMs":15.769}
eduagentx-api-gateway     | {"timestamp":"2026-09-25T04:25:08.313Z","event":"http_request_completed","service":"api-gateway","correlationId":"smoke-1790310308","method":"POST","path":"/v1/registrations","statusCode":201,"durationMs":44.286}
eduagentx-api-gateway     | {"timestamp":"2026-09-25T04:25:08.366Z","event":"http_request_completed","service":"api-gateway","correlationId":"retry-smoke-1790310308","method":"POST","path":"/v1/registrations","statusCode":200,"durationMs":37.649}
eduagentx-api-gateway     | {"timestamp":"2026-09-25T04:25:08.418Z","event":"http_request_completed","service":"api-gateway","correlationId":"protocol-smoke-1790310308","method":"POST","path":"/v1/agent-learner/registrations","statusCode":200,"durationMs":30.573}
eduagentx-agent-registry  | {"timestamp":"2026-09-25T04:25:08.560Z","event":"http_request_completed","service":"agent-registry","correlationId":"retrieve-smoke-1790310308","method":"GET","path":"/v1/registrations/:agentLearnerId","statusCode":200,"durationMs":2.782}
eduagentx-agent-registry  | {"timestamp":"2026-09-25T04:25:08.643Z","event":"http_request_completed","service":"agent-registry","correlationId":"trace-smoke-1790310308","method":"GET","path":"/v1/registration-traces/latest","statusCode":200,"durationMs":4.118}
eduagentx-agent-registry  | {"timestamp":"2026-09-25T04:25:08.776Z","event":"http_request_completed","service":"agent-registry","correlationId":"synthetic-smoke-1790310308","method":"POST","path":"/v1/registrations","statusCode":200,"durationMs":13.208}
eduagentx-api-gateway     | {"timestamp":"2026-09-25T04:25:08.478Z","event":"http_request_completed","service":"api-gateway","correlationId":"protocol-smoke-1790310308","method":"POST","path":"/v1/agent-learner/registrations","statusCode":400,"durationMs":3.751}
eduagentx-api-gateway     | {"timestamp":"2026-09-25T04:25:08.545Z","event":"http_request_completed","service":"api-gateway","correlationId":"protocol-smoke-1790310308","method":"POST","path":"/v1/agent-learner/registrations","statusCode":200,"durationMs":1.837}
eduagentx-api-gateway     | {"timestamp":"2026-09-25T04:25:08.562Z","event":"http_request_completed","service":"api-gateway","correlationId":"retrieve-smoke-1790310308","method":"GET","path":"/v1/registrations/:agentLearnerId","statusCode":200,"durationMs":6.047}
eduagentx-api-gateway     | {"timestamp":"2026-09-25T04:25:08.646Z","event":"http_request_completed","service":"api-gateway","correlationId":"trace-smoke-1790310308","method":"GET","path":"/v1/admin/registration-traces/latest","statusCode":200,"durationMs":9.532}
eduagentx-api-gateway     | {"timestamp":"2026-09-25T04:25:08.755Z","event":"http_request_completed","service":"api-gateway","correlationId":"synthetic-smoke-1790310308","method":"POST","path":"/v1/auth/tokens","statusCode":200,"durationMs":4.509}
eduagentx-api-gateway     | {"timestamp":"2026-09-25T04:25:08.777Z","event":"http_request_completed","service":"api-gateway","correlationId":"synthetic-smoke-1790310308","method":"POST","path":"/v1/agent-learner/registrations","statusCode":200,"durationMs":16.574}
eduagentx-api-gateway     | {"timestamp":"2026-09-25T04:25:08.781Z","event":"http_request_completed","service":"api-gateway","correlationId":"synthetic-smoke-1790310308","method":"POST","path":"/v1/agent-learner/interactions","statusCode":202,"durationMs":1.695}
